N,M,Mejor_O1,Media_O1,Mejor_O1_unroll,Media_Unroll,Diferencia (%)
120,128,ijmn,1.090326e-05,ijmn,2.4261e-06,-77.75
120,256,ijmn,2.082725e-05,jinm,4.60312e-06,-77.9
120,380,ijmn,2.8819090000000003e-05,ijmn,5.3074e-06,-81.58
120,510,ijmn,3.7678040000000004e-05,ijnm,5.83417e-06,-84.52
120,600,ijnm,4.344787e-05,ijnm,7.72611e-06,-82.22
250,128,ijmn,2.401448e-05,ijnm,5.09881e-06,-78.77
250,256,ijnm,4.2955249999999995e-05,ijnm,9.419800000000001e-06,-78.07
250,380,ijnm,5.554640000000001e-05,ijmn,1.0509180000000001e-05,-81.08
250,510,ijmn,7.662577e-05,ijmn,1.2557550000000001e-05,-83.61
250,600,ijnm,8.549203999999999e-05,ijmn,1.6115739999999998e-05,-81.15
380,128,ijmn,3.474053e-05,ijmn,8.38551e-06,-75.86
380,256,jimn,0.00011251753,ijmn,1.436288e-05,-87.23
380,380,ijmn,9.034398000000001e-05,ijmn,1.609858e-05,-82.18
380,510,jinm,0.00018641963,ijnm,1.861935e-05,-90.01
380,600,ijmn,0.00021438295,ijmn,2.38483e-05,-88.88
510,128,ijmn,4.570822e-05,ijnm,1.0709269999999999e-05,-76.57
510,256,ijmn,8.398133e-05,ijnm,1.9944450000000002e-05,-76.25
510,380,ijmn,0.000141235,ijnm,2.236396e-05,-84.17
510,510,ijnm,0.00021954544,ijmn,2.4858100000000002e-05,-88.68
510,600,ijnm,0.00028512295,ijnm,3.5039609999999996e-05,-87.71
600,128,ijmn,5.469117e-05,ijmn,1.293268e-05,-76.35
600,256,ijnm,9.653618e-05,ijnm,2.399284e-05,-75.15
600,380,ijmn,0.00022010791,ijnm,2.5350580000000003e-05,-88.48
600,510,ijmn,0.00026393468,ijmn,3.045271e-05,-88.46
600,600,ijmn,0.00033417771,ijnm,3.814898e-05,-88.58
